term_id	program_source_key	locale	title_nl	title_en	source_title	source_slug	genre_term_id	genre_key	source_genre_name	source_genre_slug
32102	32102	nl	Radio Monalisa	Radio Monalisa	Radio Monalisa	radio-monalisa__raakvlakken-nl	17242	raakvlakken	Raakvlakken	culturele-raakvlakken
65978	32102	nl	Radio Monalisa	Radio Monalisa	Radio Monalisa	radio-monalisa__modern-nl	3320	modern	Modern	moderne-muziek-nl
218398	32102	nl	Radio Monalisa	Radio Monalisa	Radio Monalisa	radio-monalisa	3324	hedendaags	Hedendaags	hedendaagse-muziek
65485	32233	en	X-Ray	X-Ray	X-Ray	xray__crosslinks-en	5193	crosslinks	Crosslinks	crosslinks-en
32233	32233	nl	X-Ray	X-Ray	X-Ray	xray__crosslinks-nl	5191	crosslinks	Crosslinks	crosslinks
32290	32290	en		Master - Pupil	Master - Pupil	master-pupil	3268	klassiek	Classical Music	classical-music
34609	32588	en	Kairos	Kairos	Kairos	kairos__crosslinks-en	5193	crosslinks	Crosslinks	crosslinks-en
34611	32588	en	Kairos	Kairos	Kairos	kairos__modern-en	3326	hedendaags	Contemporary Music	contemporary-music
66293	32588	en	Kairos	Kairos	Kairos	kairos__hedendaags-en	3326	hedendaags	Contemporary Music	contemporary-music
32588	32588	nl	Kairos	Kairos	Kairos	kairos__crosslinks-nl	3324	hedendaags	Hedendaags	hedendaagse-muziek
127196	32588	nl	Kairos	Kairos	Kairos	kairos__hedendaags-nl	5191	crosslinks	Crosslinks	crosslinks
205324	32588	nl	Kairos	Kairos	Kairos	kairos__modern-nl	3324	hedendaags	Hedendaags	hedendaagse-muziek
32600	32600	nl	Mondriaan Kwartet		Mondriaan Kwartet	mondriaan-kwartet	3266	klassiek	Klassiek	klassieke-muziek
32658	32658	nl	The English Song		The English Song	the-english-song	3266	klassiek	Klassiek	klassieke-muziek
35085	33005	en	Classic Jazz	Classic Jazz	Classic Jazz	classic-jazz__jazz-en	16768	jazz	Jazz	jazz-en
33005	33005	nl	Classic Jazz	Classic Jazz	Classic Jazz	classic-jazz__jazz-nl	16766	jazz	Jazz	jazz
